sample,date,event_date,relative_session,strategy,return,cumulative_return_window,drawdown_window,probability_high_risk,assigned_regime,economic_label,strategy_exposure
ROBUST,2022-01-27,2022-02-24,-20,Regime-based,0.0059494915095376,0.005967224884894318,0.0,0.0306688373649484,1,medium_risk,0.6007078845462236
ROBUST,2022-01-28,2022-02-24,-19,Regime-based,-0.0066746914410043,-0.0007249370375504993,-0.006652465166755883,0.0255754462066247,1,medium_risk,0.6007078845462236
ROBUST,2022-01-31,2022-02-24,-18,Regime-based,0.0002092742922368,-0.0005157925724824652,-0.006444561310750996,0.0163671288041058,1,medium_risk,0.6007078845462236
ROBUST,2022-02-01,2022-02-24,-17,Regime-based,0.0078920207432655,0.007403365501976511,0.0,0.0175728282481174,1,medium_risk,0.6007078845462236
ROBUST,2022-02-02,2022-02-24,-16,Regime-based,-0.0009300005022403,0.00646691538313604,-0.0009295681858019211,0.0119903400019904,1,medium_risk,0.6007078845462236
ROBUST,2022-02-03,2022-02-24,-15,Regime-based,-0.0016430577911683,0.004814589881131148,-0.0025697508163032845,0.0087767362899757,1,medium_risk,0.6007078845462236
ROBUST,2022-02-04,2022-02-24,-14,Regime-based,-0.0069602323400666,-0.0021548704553437936,-0.009487992878163154,0.0112095736672567,1,medium_risk,0.6007078845462236
ROBUST,2022-02-07,2022-02-24,-13,Regime-based,-0.0021649015942518,-0.004312770303896762,-0.011630034410333057,0.0084281085261602,1,medium_risk,0.6007078845462236
ROBUST,2022-02-08,2022-02-24,-12,Regime-based,0.0081010671124365,0.0037861192986721193,-0.003590663211157641,0.0114838190345254,1,medium_risk,0.6007078845462236
ROBUST,2022-02-09,2022-02-24,-11,Regime-based,0.0117807649743438,0.015681417938246733,0.0,0.0240110558153068,1,medium_risk,0.6007078845462236
ROBUST,2022-02-10,2022-02-24,-10,Regime-based,0.0026965132958619,0.018423912310581603,0.0,0.0158768281896528,1,medium_risk,0.6007078845462236
ROBUST,2022-02-11,2022-02-24,-9,Regime-based,-0.0059853265352899,0.01234651838073586,-0.005967450151536102,0.0148381302211847,1,medium_risk,0.6007078845462236
ROBUST,2022-02-14,2022-02-24,-8,Regime-based,-0.0155131164611332,-0.003236944499744876,-0.02126899864436871,0.0473127101940814,1,medium_risk,0.6007078845462236
